weekday,inner_speed1,inner_speed2,inner_speed3,inner_speed4,inner_speed5,inner_speed6,inner_speed7,inner_speed8,outer_speed,inner_speed,under_10,10_20,20_30,30_40,40_50,50_60,60_70,70_80,80_over,education-inner,education-outer,consumption-inner,consumption-outer,transportation-inner,transportation-outer,cultural-inner,cultural-outer,bicycle-inner,bicycle-outer,removedparking,newmobility,percentageclosedstreet,inner_age,outer_age,inner_actmode,outer_actmode,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,inner_escooter,outer_escooter,inner_emoped,outer_emoped,bikedirection_south,bikedirection_north,biketotal,wspd_,bikedirection_south_,bikedirection_north_,tavg_,inner_speed8_,snow_,pres_,wpgt_,inner_speed1_,outer_actmode_,inner_speed7_,inner_speed4_,prcp_,inner_speed3_,tmax_,inner_actmode_,inner_speed5_,inner_speed6_,tmin_,tsun_,wdir_,inner_speed2_,outer_speed_,biketotal_,inner_escooter_,outer_escooter_,inner_emoped_,outer_emoped_,date
2.0,0.612708333,0.640233013,0.840166667,0.669913636,0.525257051,0.874948972,0.870886792,0.519747436,0.562187456,0.694232738,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,0.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,10.1,5.9,14.1,2.6,0.0,242.0,7.6,31.3,1021.4,49.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,2340.0,2222.0,4562.0,7.6,2340.0,2222.0,10.1,0.519747436,0.0,1021.4,31.3,0.612708333,54.37863212,0.870886792,0.669913636,2.6,0.840166667,14.1,52.5974398,0.525257051,0.874948972,5.9,49.0,242.0,0.640233013,0.562187456,4562.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-02
3.0,0.890079167,0.865010714,0.846833333,0.656875,0.764658333,0.797940147,0.79148429,0.792222024,0.851602151,0.800637876,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,0.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,10.6,5.4,17.6,0.0,0.0,50.0,7.6,28.4,1023.9,407.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,3318.0,3157.0,6475.0,7.6,3318.0,3157.0,10.6,0.792222024,0.0,1023.9,28.4,0.890079167,54.37863212,0.79148429,0.656875,0.0,0.846833333,17.6,52.5974398,0.764658333,0.797940147,5.4,407.0,50.0,0.865010714,0.851602151,6475.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-03
4.0,0.835233333,0.8465625,0.867833333,0.679809091,0.7320125,0.826692819,0.811101234,0.801445833,0.817218563,0.80008633,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,0.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,13.6,6.0,20.6,0.0,0.0,82.0,10.4,30.6,1019.8,799.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,4583.0,4281.0,8864.0,10.4,4583.0,4281.0,13.6,0.801445833,0.0,1019.8,30.6,0.835233333,54.37863212,0.811101234,0.679809091,0.0,0.867833333,20.6,52.5974398,0.7320125,0.826692819,6.0,799.0,82.0,0.8465625,0.817218563,8864.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-04
5.0,0.881706439,0.837223106,0.851,0.670479546,0.793281061,0.791452261,0.78277137,0.79857803,0.857606196,0.800811477,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,0.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,16.0,7.8,23.5,13.9,0.0,178.0,7.6,55.4,1016.6,511.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,3428.0,3148.0,6576.0,7.6,3428.0,3148.0,16.0,0.79857803,0.0,1016.6,55.4,0.881706439,54.37863212,0.78277137,0.670479546,13.9,0.851,23.5,52.5974398,0.793281061,0.791452261,7.8,511.0,178.0,0.837223106,0.857606196,6576.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-05
6.0,0.909208333,0.947375,0.900333333,0.733506818,0.851683333,0.884387236,0.875140442,0.843775,0.884013369,0.868176187,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,0.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,14.8,11.2,20.4,0.0,0.0,267.0,6.1,24.8,1016.7,305.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,3300.0,3060.0,6360.0,6.1,3300.0,3060.0,14.8,0.843775,0.0,1016.7,24.8,0.909208333,54.37863212,0.875140442,0.733506818,0.0,0.900333333,20.4,52.5974398,0.851683333,0.884387236,11.2,305.0,267.0,0.947375,0.884013369,6360.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-06
7.0,0.666745833,0.690758333,0.921166667,0.750322727,0.599216667,0.936969415,0.929804732,0.677202083,0.66254835,0.771523307,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,0.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,16.9,10.4,22.6,0.0,0.0,83.0,8.3,27.4,1015.7,586.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,4074.0,3686.0,7760.0,8.3,4074.0,3686.0,16.9,0.677202083,0.0,1015.7,27.4,0.666745833,54.37863212,0.929804732,0.750322727,0.0,0.921166667,22.6,52.5974398,0.599216667,0.936969415,10.4,586.0,83.0,0.690758333,0.66254835,7760.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-07
1.0,0.9141625,0.888233333,0.879666667,0.703747727,0.826841667,0.844209765,0.837058582,0.8262875,0.867229117,0.840025968,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,0.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,13.8,10.8,16.8,0.0,0.0,71.0,8.6,24.5,1020.6,246.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,2665.0,2535.0,5200.0,8.6,2665.0,2535.0,13.8,0.8262875,0.0,1020.6,24.5,0.9141625,54.37863212,0.837058582,0.703747727,0.0,0.879666667,16.8,52.5974398,0.826841667,0.844209765,10.8,246.0,71.0,0.888233333,0.867229117,5200.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-08
2.0,0.871404167,0.85065,0.840166667,0.669913636,0.828370833,0.874948972,0.870886792,0.822841667,0.848648491,0.828647842,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,0.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,14.8,7.5,21.2,7.7,0.0,80.0,9.7,34.2,1014.5,668.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,4231.0,3947.0,8178.0,9.7,4231.0,3947.0,14.8,0.822841667,0.0,1014.5,34.2,0.871404167,54.37863212,0.870886792,0.669913636,7.7,0.840166667,21.2,52.5974398,0.828370833,0.874948972,7.5,668.0,80.0,0.85065,0.848648491,8178.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-09
3.0,0.6662,0.641871429,0.846833333,0.656875,0.595971429,0.797940147,0.79148429,0.612951786,0.63188314,0.701265927,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,0.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,11.9,8.8,15.9,20.3,0.0,256.0,11.2,40.3,1013.0,55.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,1507.0,1516.0,3023.0,11.2,1507.0,1516.0,11.9,0.612951786,0.0,1013.0,40.3,0.6662,54.37863212,0.79148429,0.656875,20.3,0.846833333,15.9,52.5974398,0.595971429,0.797940147,8.8,55.0,256.0,0.641871429,0.63188314,3023.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-10
4.0,0.797577062,0.777929201,0.867833333,0.679809091,0.775791129,0.826692819,0.811101234,0.726265538,0.777188676,0.782874926,9726.0,6961.0,23582.0,27805.0,22479.0,14857.0,12157.0,8961.0,6122.0,3.0,61.0,20.0,436.0,15.0,193.0,0.0,6.0,11.0,256.0,0.0,0.0,0.0,11185.0,72281.0,52.5726708863793,54.2440740212931,9.0,7.9,10.1,18.2,0.0,234.0,7.9,25.6,1014.5,0.0,0.000240705801724138,0.0003249485948275862,0.003425818577586207,0.003933863586206896,1121.0,1016.0,2137.0,7.9,1121.0,1016.0,9.0,0.726265538,0.0,1014.5,25.6,0.797577062,54.37863212,0.811101234,0.679809091,18.2,0.867833333,10.1,52.5974398,0.775791129,0.826692819,7.9,0.0,234.0,0.777929201,0.777188676,2137.0,0.0002509793663793104,0.00025913793103448274,0.00314184054454023,0.003211290854885057,2023-05-11
