date,inner_age,outer_age
02.05.2023,11185,72281
03.05.2023,11185,72281
04.05.2023,11185,72281
05.05.2023,11185,72281
06.05.2023,11185,72281
07.05.2023,11185,72281
08.05.2023,11185,72281
09.05.2023,11185,72281
10.05.2023,11185,72281
11.05.2023,11185,72281
12.05.2023,11185,72281
13.05.2023,11185,72281
14.05.2023,11185,72281
15.05.2023,11185,72281
16.05.2023,11185,72281
17.05.2023,11185,72281
18.05.2023,11185,72281
19.05.2023,11185,72281
20.05.2023,11185,72281
21.05.2023,11185,72281
22.05.2023,11185,72281
23.05.2023,11185,72281
24.05.2023,11185,72281
25.05.2023,11185,72281
26.05.2023,11185,72281
27.05.2023,11185,72281
28.05.2023,11185,72281
29.05.2023,11185,72281
30.05.2023,11185,72281
31.05.2023,11185,72281
01.06.2023,11185,72281
02.06.2023,11185,72281
03.06.2023,11185,72281
04.06.2023,11185,72281
05.06.2023,11185,72281
06.06.2023,11185,72281
07.06.2023,11185,72281
08.06.2023,11185,72281
09.06.2023,11185,72281
10.06.2023,11185,72281
11.06.2023,11185,72281
12.06.2023,11185,72281
13.06.2023,11185,72281
14.06.2023,11185,72281
15.06.2023,11185,72281
16.06.2023,11185,72281
17.06.2023,11185,72281
18.06.2023,11185,72281
19.06.2023,11185,72281
20.06.2023,11185,72281
21.06.2023,11185,72281
22.06.2023,11185,72281
23.06.2023,11185,72281
24.06.2023,11185,72281
25.06.2023,11185,72281
26.06.2023,11185,72281
27.06.2023,11185,72281
28.06.2023,11185,72281
29.06.2023,11185,72281
30.06.2023,11185,72281
01.07.2023,11185,72281
02.07.2023,11185,72281
03.07.2023,11185,72281
04.07.2023,11185,72281
05.07.2023,11185,72281
06.07.2023,11185,72281
07.07.2023,11185,72281
08.07.2023,11185,72281
09.07.2023,11185,72281
10.07.2023,11185,72281
11.07.2023,11185,72281
12.07.2023,11185,72281
13.07.2023,11185,72281
14.07.2023,11185,72281
15.07.2023,11185,72281
16.07.2023,11185,72281
17.07.2023,11185,72281
18.07.2023,11185,72281
19.07.2023,11185,72281
20.07.2023,11185,72281
21.07.2023,11185,72281
22.07.2023,11185,72281
23.07.2023,11185,72281
24.07.2023,11185,72281
25.07.2023,11185,72281
26.07.2023,11185,72281
27.07.2023,11185,72281
28.07.2023,11185,72281
29.07.2023,11185,72281
30.07.2023,11185,72281
31.07.2023,11185,72281
01.08.2023,11185,72281
02.08.2023,11185,72281
03.08.2023,11185,72281
04.08.2023,11185,72281
05.08.2023,11185,72281
06.08.2023,11185,72281
07.08.2023,11185,72281
08.08.2023,11185,72281
09.08.2023,11185,72281
10.08.2023,11185,72281
11.08.2023,11185,72281
12.08.2023,11185,72281
13.08.2023,11185,72281
14.08.2023,11185,72281
15.08.2023,11185,72281
16.08.2023,11185,72281
17.08.2023,11185,72281
18.08.2023,11185,72281
19.08.2023,11185,72281
20.08.2023,11185,72281
21.08.2023,11185,72281
22.08.2023,11185,72281
23.08.2023,11185,72281
24.08.2023,11185,72281
25.08.2023,11185,72281
26.08.2023,11185,72281
27.08.2023,11185,72281
28.08.2023,11185,72281
29.08.2023,11185,72281
30.08.2023,11185,72281
31.08.2023,11185,72281
01.09.2023,11185,72281
02.09.2023,11185,72281
03.09.2023,11185,72281
04.09.2023,11185,72281
05.09.2023,11185,72281
06.09.2023,11185,72281
07.09.2023,11185,72281
08.09.2023,11185,72281
09.09.2023,11185,72281
10.09.2023,11185,72281
11.09.2023,11185,72281
12.09.2023,11185,72281
13.09.2023,11185,72281
14.09.2023,11185,72281
15.09.2023,11185,72281
16.09.2023,11185,72281
17.09.2023,11185,72281
18.09.2023,11185,72281
19.09.2023,11185,72281
20.09.2023,11185,72281
