date,inner_escooter,outer_escooter
28.05.2023,0.0019,0.001
29.05.2023,0.0013,0.0011
30.05.2023,0.0015,0.0015
31.05.2023,0.0005,0.0019
01.06.2023,0.0014,0.0015
02.06.2023,0.0014,0.0011
03.06.2023,0.0015,0.0004
04.06.2023,0.0018,0.0011
05.06.2023,0.0015,0.0016
06.06.2023,0.0011,0.0021
07.06.2023,0.0012,0.0007
08.06.2023,0.0012,0.001
09.06.2023,0.0019,0.0018
10.06.2023,0.0025,0.0013
11.06.2023,0.0019,0.0013
12.06.2023,0.002,0.0011
13.06.2023,0.0011,0.0014
14.06.2023,0.0008,0.0017
15.06.2023,0.0026,0.0003
16.06.2023,0.0017,0.001
17.06.2023,0.0014,0.0013
18.06.2023,0.0019,0.0013
19.06.2023,0.0007,0.0013
20.06.2023,0.0007,0.0013
21.06.2023,0.0006,0.0006
22.06.2023,0.0008,0.001
23.06.2023,0.0012,0.0017
24.06.2023,0.0014,0.0017
25.06.2023,0.0017,0.0017
26.06.2023,0.0015,0.0016
27.06.2023,0.001,0.0015
28.06.2023,0.0009,0.001
29.06.2023,0.0007,0.0014
30.06.2023,0.0013,0.0019
01.07.2023,0.0016,0.0025
02.07.2023,0.0021,0.0022
03.07.2023,0.0007,0.0017
04.07.2023,0.0008,0.0017
05.07.2023,0.0012,0.0007
06.07.2023,0.0011,0.0012
07.07.2023,0.001599999,0.001746154
08.07.2023,0.001514285,0.001585714
09.07.2023,0.0016,0.0013
10.07.2023,0.0018,0.001
11.07.2023,0.0008,0.0008
12.07.2023,0.0009,0.0017
13.07.2023,0.001371429,0.001235713
14.07.2023,0.001599999,0.001746154
15.07.2023,0.001514285,0.001585714
16.07.2023,0.0002,0.0035
17.07.2023,0.0005,0.0024
18.07.2023,0.0005,0.002
19.07.2023,0.001,0.0018
20.07.2023,0.001371429,0.001235713
21.07.2023,0.0003,0.0014
22.07.2023,0.0013,0.0012
23.07.2023,0.0023,0.0013
24.07.2023,0.0014,0.0018
25.07.2023,0.0011,0.0015
26.07.2023,0.0001,0.0022
27.07.2023,0.0007,0.0016
28.07.2023,0.0012,0.001
29.07.2023,0.0014,0.0009
30.07.2023,0.0016,0.001
31.07.2023,0.0019,0.0006
01.08.2023,0.0009,0.0012
02.08.2023,0.0014,0.0015
03.08.2023,0.0006,0.0014
04.08.2023,0.001599999,0.001746154
05.08.2023,0.0013,0.0008
06.08.2023,0.0029,0.0014
07.08.2023,0.0037,0.0017
08.08.2023,0.0029,0.0011
09.08.2023,0.0021,0.0013
10.08.2023,0.0017,0.0012
11.08.2023,0.0025,0.0016
12.08.2023,0.0026,0.0013
13.08.2023,0.0035,0.0024
14.08.2023,0.0025,0.0024
15.08.2023,0.0029,0.0022
16.08.2023,0.0012,0.0021
17.08.2023,0.0035,0.0028
18.08.2023,0.004,0.0027
19.08.2023,0.0011,0.0031
20.08.2023,0.001,0.0015
21.08.2023,0.0005,0.0015
22.08.2023,0.001126667,0.00158
23.08.2023,0.0005,0.0011
24.08.2023,0.001,0.0008
25.08.2023,0.0009,0.0016
26.08.2023,0.0007,0.0009
27.08.2023,0.0023,0.0015
28.08.2023,0.0021,0.0023
29.08.2023,0.001126667,0.00158
30.08.2023,0.00086875,0.00168125
31.08.2023,0.0011,0.0015
01.09.2023,0.0014,0.0022
02.09.2023,0.0024,0.0022
03.09.2023,0.0033,0.0024
04.09.2023,0.0019,0.0023
05.09.2023,0.0012,0.0023
06.09.2023,0.0015,0.0014
07.09.2023,0.0026,0.0015
08.09.2023,0.0019,0.0019
09.09.2023,0.002,0.0018
10.09.2023,0.0008,0.002
11.09.2023,0.0013,0.0021
12.09.2023,0.0005,0.002
13.09.2023,0.0008,0.0016
14.09.2023,0.0007,0.0022
15.09.2023,0.0011,0.0028
16.09.2023,0.0005,0.0028
17.09.2023,0.0007,0.0019
18.09.2023,0.0002,0.0009
19.09.2023,0.0005,0.0011
20.09.2023,0.0004,0.0056
