date,education-inner,education-outer,consumption-inner,consumption-outer,transportation-inner,transportation-outer,cultural-inner,cultural-outer,bicycle-inner,bicycle-outer,removedparking,Mobility hubs added,percentageclosedstreet
02.05.2023,3,61,20,436,15,193,0,6,11,256,0,0,0
03.05.2023,3,61,20,436,15,193,0,6,11,256,0,0,0
04.05.2023,3,61,20,436,15,193,0,6,11,256,0,0,0
05.05.2023,3,61,20,436,15,193,0,6,11,256,0,0,0
06.05.2023,3,61,20,436,15,193,0,6,11,256,0,0,0
07.05.2023,3,61,20,436,15,193,0,6,11,256,0,0,0
08.05.2023,3,61,20,436,15,193,0,6,11,256,0,0,0
09.05.2023,3,61,20,436,15,193,0,6,11,256,0,0,0
10.05.2023,3,61,20,436,15,193,0,6,11,256,0,0,0
11.05.2023,3,61,20,436,15,193,0,6,11,256,0,0,0
12.05.2023,3,61,20,436,15,193,0,6,11,256,0,0,0
13.05.2023,3,61,20,436,15,193,0,6,11,256,0,0,0
14.05.2023,3,61,20,436,15,193,0,6,11,256,0,0,0
15.05.2023,3,61,20,436,15,193,0,6,11,256,0,0,0
16.05.2023,3,61,20,436,15,193,0,6,11,256,0,0,0
17.05.2023,3,61,20,436,15,193,0,6,11,256,0,0,0
18.05.2023,3,61,20,436,15,193,0,6,11,256,0,0,0
19.05.2023,3,61,20,436,15,193,0,6,11,256,0,0,0
20.05.2023,3,61,20,436,15,193,0,6,11,256,0,0,0
21.05.2023,3,61,20,436,15,193,0,6,11,256,0,0,0
22.05.2023,3,61,20,436,15,193,0,6,11,256,4,0,0
23.05.2023,3,61,20,436,15,193,0,6,11,256,4,0,0
24.05.2023,3,61,20,436,15,193,0,6,11,256,4,0,0
25.05.2023,3,61,20,436,15,193,0,6,11,256,4,0,0
26.05.2023,3,61,20,436,15,193,0,6,11,256,4,0,0
27.05.2023,3,61,20,436,15,193,0,6,11,256,4,0,0
28.05.2023,3,61,20,436,15,193,0,6,11,256,4,0,0
29.05.2023,3,61,20,436,15,193,0,6,11,256,4,0,0
30.05.2023,3,61,20,436,15,193,0,6,11,256,4,0,0
31.05.2023,3,61,20,436,15,193,0,6,11,256,4,0,0
01.06.2023,3,61,20,436,15,193,0,6,11,256,4,0,0
02.06.2023,3,61,20,436,15,193,0,6,11,256,4,0,0
03.06.2023,3,61,20,436,15,193,0,6,11,256,4,0,0
04.06.2023,3,61,20,436,15,193,0,6,11,256,4,0,0
05.06.2023,3,61,20,436,15,193,0,6,11,256,4,0,0
06.06.2023,3,61,20,436,15,193,0,6,11,256,4,0,0
07.06.2023,3,61,20,436,15,193,0,6,11,256,4,0,0
08.06.2023,3,61,20,436,15,193,0,6,11,256,4,0,0
09.06.2023,3,61,20,436,15,193,0,6,11,256,4,0,0
10.06.2023,3,61,20,436,15,193,0,6,11,256,16,0,0
11.06.2023,3,61,20,436,15,193,0,6,11,256,16,0,0
12.06.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
13.06.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
14.06.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
15.06.2023,3,61,20,436,15,193,0,6,11,256,129,3,0.11
