date,1_emoped,2_emoped,4_emoped,5_emoped,8_emoped,15_emoped,87_emoped,88_emoped,89_emoped,90_emoped,92_emoped
28.05.2023,0.000301083,0.001625715,0.000283294,0.001590965,0.000435697,0.00014537,0.001574335,0.000437435,0.00071684,0.000141399,0
29.05.2023,0.000148514,0.001962458,0.000274028,0,0.000273283,0.000137179,0.001134252,0.000934291,0.002169499,0,0
30.05.2023,0.000169977,0.002027606,0.000169977,0,0.000672063,0.001157171,0,0,0,0.000165211,0.000165211
31.05.2023,0.000315637,0,0,0.001829739,0.000462399,0,0,0,0,0.000161474,0.000310673
01.06.2023,0,0.001328041,0.008171168,0.00136428,0,0,0.000844323,0,0,0.008166005,0
02.06.2023,0,0,0.000333202,0.0017089,0.000869541,0,0.001194899,0.000856237,0.001363982,0,0
03.06.2023,0,0,0,0,0,0,0,0,0,0,0
04.06.2023,0.000301083,0,0.000283294,0,0.000435697,0.00014537,0,0.000437435,0,0.000141399,0
05.06.2023,0.000148514,0,0.000274028,0,0,0.000137179,0,0.000434291,0,0,0
06.06.2023,0.000169977,0,0.000169977,0.003251993,0,0.001157171,0,0.001499209,0,0.000165211,0.000565211
07.06.2023,0.000315637,0,0,0.001829739,0,0.000645626,0,0,0.000933282,0.000161474,0.000310673
08.06.2023,0,0,0.000171168,0.00136428,0,0,0,0,0,0,0
09.06.2023,0,0,0.007333202,0.0017089,0.000869541,0,0,0,0,0,0
10.06.2023,0,0.001415629,0,0,0,0,0.004236825,0.003935268,0,0,0
11.06.2023,0.001301083,0,0.000283294,0,0.000435697,0,0.001574335,0,0,0.000141399,0
12.06.2023,0.000148514,0,0.000274028,0,0.000273283,0,0.005134252,0.007434291,0.001169499,0,0
13.06.2023,0.000169977,0,0.000169977,0,0.000672063,0.001157171,0.00151857,0,0.001701652,0,0.000165211
14.06.2023,0.000315637,0,0,0.001829739,0.000462399,0.001645626,0,0,0.000933282,0,0.000310673
15.06.2023,0,0,0.001171168,0.00436428,0,0.0003335,0,0,0,0.000166005,0
16.06.2023,0,0,0.000333202,0,0.000869541,0,0,0.000856237,0.001363982,0,0
17.06.2023,0,0,0,0,0,0.00107174,0.001236825,0,0.000460052,0,0
18.06.2023,0.000301083,0.001625715,0.000283294,0.001590965,0.000435697,0.00014537,0.001574335,0,0,0.000141399,0
19.06.2023,0.000148514,0.001962458,0.000274028,0,0,0,0.001134252,0,0,0,0
20.06.2023,0.000169977,0,0.000169977,0.003251993,0,0,0.00151857,0,0,0.000165211,0.000165211
21.06.2023,0.000315637,0,0,0.003829739,0.000462399,0,0,0,0.000933282,0.000161474,0.000310673
22.06.2023,0,0,0.000171168,0.00136428,0,0.0003335,0,0,0.000671268,0.000166005,0
23.06.2023,0,0.001696886,0.001333202,0,0.000869541,0.000854152,0,0,0.001363982,0,0
24.06.2023,0,0,0,0,0,0.00107174,0,0.000935268,0.000460052,0,0
25.06.2023,0.000301083,0,0.000283294,0.001590965,0.000435697,0.00014537,0.001574335,0.000437435,0,0.000141399,0
26.06.2023,0.000148514,0,0.000274028,0,0,0.000137179,0,0.000434291,0,0,0
27.06.2023,0.000169977,0.002027606,0.000169977,0,0,0.001157171,0,0.001499209,0.001701652,0.000165211,0.000165211
28.06.2023,0.000315637,0.002073078,0,0.001829739,0.000462399,0.000645626,0.000945287,0.000625588,0.000933282,0.000161474,0.000310673
29.06.2023,0,0,0,0,0,0,0,0,0,0,0
30.06.2023,0,0.001724,0,0.003448,0,0,0,0.001724,0.003448,0,0
01.07.2023,0,0.001681,0,0.001681,0,0,0,0,0,0,0
02.07.2023,0,0,0.001709,0,0.001709,0,0.005128,0.001709,0,0.001709,0
03.07.2023,0,0.001631,0,0.001631,0,0,0,0,0,0,0
04.07.2023,0,0.003328,0,0.001664,0,0.001664,0.003328,0.003328,0,0.001664,0.001664
05.07.2023,0,0.001678,0,0,0.003356,0,0,0,0,0,0
06.07.2023,0,0,0,0,0,0.001664,0,0,0,0,0
07.07.2023,0,0,0,0.001698,0,0,0.003396,0,0.005093,0,0
08.07.2023,0,0.003676,0,0.003676,0,0,0.001838,0.001838,0,0,0
09.07.2023,0,0,0,0,0,0.001757,0,0.001757,0,0,0
10.07.2023,0,0,0,0,0,0,0.001736,0,0,0,0
11.07.2023,0,0.005348,0,0.001783,0,0,0.001783,0.001783,0.001783,0,0
12.07.2023,0,0.001792,0,0.001792,0,0,0.001792,0,0.001792,0,0
13.07.2023,0,0.001050289,0.000814905,0.00158558,0,0.000287571,0.000667737,0.000121071,0.000530876,0.00072643,0
14.07.2023,0,0.001341992,0.000906343,0.001473557,0.000874012,0.000675511,0.000944993,0.00073832,0.001273568,0,0
15.07.2023,0,0.001139975,0,0.0020874,0,0.000934499,0.001278443,0.001015502,0.00040114,0,0
16.07.2023,0,0.001835,0,0.001835,0,0,0,0,0,0,0
17.07.2023,0,0.001764,0,0.003527,0,0,0,0,0,0,0
18.07.2023,0,0,0,0.008865,0,0.001773,0.001773,0.001773,0.001773,0,0
19.07.2023,0,0,0,0.001733,0,0,0,0,0,0,0
20.07.2023,0,0,0,0.003552,0,0,0,0,0,0,0
21.07.2023,0,0.003534,0,0.001767,0.001767,0.001767,0.001767,0.001767,0,0,0
