date,Average temperature,Minimum temperature,tmax,Precipitation,snow,Wind direction,Wind speed,Wind peak gust,pres,tsun
02.05.2023,10.1,5.9,14.1,2.6,0,242,7.6,31.3,1021.4,49
03.05.2023,10.6,5.4,17.6,0,0,50,7.6,28.4,1023.9,407
04.05.2023,13.6,6,20.6,0,0,82,10.4,30.6,1019.8,799
05.05.2023,16,7.8,23.5,13.9,0,178,7.6,55.4,1016.6,511
06.05.2023,14.8,11.2,20.4,0,0,267,6.1,24.8,1016.7,305
07.05.2023,16.9,10.4,22.6,0,0,83,8.3,27.4,1015.7,586
08.05.2023,13.8,10.8,16.8,0,0,71,8.6,24.5,1020.6,246
09.05.2023,14.8,7.5,21.2,7.7,0,80,9.7,34.2,1014.5,668
10.05.2023,11.9,8.8,15.9,20.3,0,256,11.2,40.3,1013,55
11.05.2023,9,7.9,10.1,18.2,0,234,7.9,25.6,1014.5,0
12.05.2023,10.7,8.8,13.2,0,0,39,7.9,31.7,1014.4,0
13.05.2023,10.9,8.6,14,0.1,0,56,8.6,25.6,1016.6,35
14.05.2023,11.3,9.2,17,0,0,43,8.6,42.5,1013.9,178
15.05.2023,11.8,9.4,17.1,0.6,0,266,8.6,26.6,1011.8,143
16.05.2023,10.2,8.2,13.2,12.1,0,303,9,38.2,1013.9,0
17.05.2023,9.8,6.2,14.3,0,0,0,10.4,29.9,1021.6,342
18.05.2023,10,4.5,14.6,0,0,65,12.6,39.6,1022.3,336
19.05.2023,12,8.1,15.4,0,0,61,11.5,28.8,1019.6,178
20.05.2023,16.4,11,23.3,0,0,64,11.2,39.2,1013.9,317
21.05.2023,19.4,13.1,27.3,0,0,91,10.4,35.6,1010.8,612
22.05.2023,19.2,10.6,26.1,0,0,242,7.2,34.6,1011.5,837
23.05.2023,17.4,12.5,21.8,0,0,288,12.2,36.7,1014.7,270
24.05.2023,12.9,10.9,15.9,0.2,0,359,8.6,24.8,1018.7,118
25.05.2023,15.3,10.6,21.2,0,0,69,9.7,29.2,1020.3,272
26.05.2023,17.4,10.1,23.5,0,0,21,8.3,30.6,1021.6,712
27.05.2023,17,11.2,22.5,0,0,57,12.6,35.3,1020.4,865
28.05.2023,16.5,9.4,22.9,0,0,58,9.7,31.7,1016.4,879
29.05.2023,17.5,8.9,24.2,0,0,56,9,34.2,1016.5,880
30.05.2023,17.9,12.1,23.6,0,0,56,11.5,38.9,1018.1,761
31.05.2023,18.1,10.8,23.7,0,0,61,13.7,42.1,1017.9,897
01.06.2023,19.2,12.2,25.5,0,0,34,8.3,27.7,1015,765
02.06.2023,19.1,12.7,25.7,0,0,313,10.1,32,1013.6,907
03.06.2023,17.4,11.8,23.5,0,0,62,12.2,35.3,1015.4,808
04.06.2023,18,9.9,24.1,0,0,59,9.7,28.4,1016.4,759
05.06.2023,18.1,13.4,23.1,0,0,68,9.7,32.8,1015.4,418
06.06.2023,16.9,12.5,23,0,0,327,9,32,1016.1,463
07.06.2023,18.3,11.3,25.7,0,0,326,6.1,25.9,1015.4,850
08.06.2023,18.5,11.3,26.2,7.1,0,47,7.6,40.7,1013,666
09.06.2023,20,13.1,26,0,0,69,9.4,31,1011.8,810
10.06.2023,19.5,13,25.3,0,0,59,11.2,35.6,1012.4,680
11.06.2023,20.1,13.8,26,0,0,69,12.2,40.3,1014.5,860
12.06.2023,19.6,14.2,25.3,0,0,70,14.4,44.6,1013.5,921
13.06.2023,17.7,11.8,24,0,0,70,14,43.9,1011.3,931
14.06.2023,17.9,9.6,24.7,0,0,71,10.1,33.5,1012.6,817
15.06.2023,18.3,12.3,24.2,0,0,40,7.6,28.4,1015.6,467
16.06.2023,18.8,11.7,25.2,0,0,311,10.1,40.7,1015.5,610
17.06.2023,20.4,13.8,26.8,0,0,270,9.7,38.9,1014.3,803
18.06.2023,22.3,13.1,30.2,0,0,111,7.2,30.6,1012.7,805
19.06.2023,24.8,18.2,30.5,1.1,0,78,9.7,33.1,1012.7,541
20.06.2023,24.7,17.2,32.6,5,0,127,10.4,36.7,1012.3,650
21.06.2023,23.7,18.1,28.8,0,0,344,8.6,56.5,1016.5,721
22.06.2023,24.5,17.7,34.5,20.3,0,69,11.2,63,1013.2,727
23.06.2023,18.7,15.9,24.2,0.4,0,270,16.9,51.8,1020.9,203
24.06.2023,19.6,15.7,25.5,0,0,299,6.5,21.2,1023.5,480
25.06.2023,21.3,13.1,28.1,0,0,90,8.6,30.2,1017.4,933
26.06.2023,23.7,15,31.9,0,0,248,12.2,41.4,1014.8,657
27.06.2023,19.3,16.7,22.4,2,0,317,10.1,29.9,1018.2,353
28.06.2023,17.8,12.9,23.6,0,0,287,7.2,33.5,1017.9,450
29.06.2023,21.7,12.2,28.5,0.5,0,105,6.8,29.2,1013.7,800
30.06.2023,19.2,16.3,22.2,18.1,0,262,6.5,27.4,1010.9,64
01.07.2023,18.9,14.4,23.7,2.2,0,258,10.8,43.6,1009.7,226
02.07.2023,18.4,13.5,23.7,2.8,0,250,11.5,42.8,1011.8,347
03.07.2023,20,15.1,24.4,0.4,0,254,10.8,43.6,1013.5,318
