date,education-kol-inner,education-landl-inner,education-kol-outer,education-landl-outer,consumption-kol-inner,consumption-landl-inner,consumption-kol-outer,consumption-landl-outer,transportation-kol-inner,transportation-landl-inner,transportation-kol-outer,transportation-landl-outer,cultural-kol-inner,cultural-landl-inner,cultural-kol-outer,cultural-landl-outer,bicycle-kol-inner,bicycle-landl-inner,bicycle-kol-outer,bicycle-landl-outer,removedparking-kol,removedparking-landl
02.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
03.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
04.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
05.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
06.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
07.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
08.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
09.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
10.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
11.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
12.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
13.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
14.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
15.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
16.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
17.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
18.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
19.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
20.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
21.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
22.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
23.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
24.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
25.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
26.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
27.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
28.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
29.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
30.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
31.05.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
01.06.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
02.06.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
03.06.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
04.06.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
05.06.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
06.06.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
07.06.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
08.06.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
09.06.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
10.06.2023,3,0,61,36,20,6,436,114,15,4,193,154,0,0,6,0,11,6,256,176,0,0
