date,1_escooter,2_escooter,4_escooter,5_escooter,8_escooter,15_escooter,87_escooter,88_escooter,89_escooter,90_escooter,92_escooter
28.05.2023,0.0002,0,0,0.0007,0.0001,0.0003,0.0006,0.0004,0.0004,0,0.0002
29.05.2023,0,0.0005,0,0.0005,0.0001,0.0002,0.0005,0.0002,0.0002,0,0.0002
30.05.2023,0.0001,0.0006,0.0002,0.0005,0.0001,0.0001,0.0004,0.0006,0.0003,0,0.0001
31.05.2023,0.0001,0.0006,0.0001,0.0009,0.0002,0,0,0.0001,0.0003,0,0.0001
01.06.2023,0.0002,0.0007,0,0.0005,0.0001,0.0001,0.0005,0.0003,0.0003,0,0.0002
02.06.2023,0.0002,0.0002,0.0001,0.0006,0,0.0002,0.0005,0,0.0004,0.0001,0.0002
03.06.2023,0.0002,0,0,0.0002,0,0.0002,0.0005,0.0002,0.0004,0,0.0002
04.06.2023,0,0.0008,0,0.0002,0.0001,0.0002,0.0006,0.0004,0.0004,0,0.0002
05.06.2023,0,0.0008,0,0.0008,0,0.0002,0.0005,0.0002,0.0004,0,0.0002
06.06.2023,0.0001,0.001,0,0.001,0,0.0001,0.0004,0.0002,0.0003,0,0.0001
07.06.2023,0.0001,0.0004,0,0,0.0002,0,0,0.0001,0.0003,0,0.0008
08.06.2023,0.0004,0,0,0.0005,0.0001,0.0001,0.0005,0.0003,0.0003,0,0
09.06.2023,0.0002,0.0007,0,0.0006,0.0003,0.0002,0.0005,0.0003,0.0003,0.0001,0.0005
10.06.2023,0.0002,0.0007,0,0.0004,0,0,0.0005,0.0008,0.0004,0,0.0008
11.06.2023,0.0002,0.0007,0,0.0004,0,0.0003,0.0006,0.0004,0.0006,0,0
12.06.2023,0,0.0007,0,0.0004,0,0.0002,0.0005,0.0002,0.0009,0,0.0002
13.06.2023,0.0001,0.0006,0.0002,0.0004,0.0001,0.0001,0.0004,0.0002,0.0003,0,0.0001
14.06.2023,0.0001,0.0006,0.0001,0.0007,0.0002,0,0.0004,0.0001,0.0003,0,0
15.06.2023,0,0.0001,0,0.0002,0,0.0001,0.0005,0.001,0.0008,0,0.0002
16.06.2023,0.0002,0.0002,0,0.0006,0,0,0.0005,0.0006,0.0005,0.0001,0
17.06.2023,0.0002,0.0007,0,0.0004,0,0.0002,0.0005,0.0002,0.0004,0,0.0001
18.06.2023,0.0005,0.0008,0,0,0,0.0003,0.0006,0.0004,0.0004,0,0.0002
19.06.2023,0.0002,0.0006,0,0.0005,0,0,0,0.0003,0.0004,0,0
